#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2016 01 05 05 21 999 99.0 99.0  1.90  9.88  6.49  45 9999.0 999.0  27.7 999.0 99.0 99.00
2016 01 05 06 21 999 99.0 99.0  2.09 10.53  6.90  73 9999.0 999.0  27.6 999.0 99.0 99.00
2016 01 05 06 51 999 99.0 99.0  2.30  9.88  7.20  52 9999.0 999.0  27.7 999.0 99.0 99.00
2016 01 05 07 21 999 99.0 99.0  2.32  9.09  7.09  66 9999.0 999.0  27.6 999.0 99.0 99.00
2016 01 05 07 51 999 99.0 99.0  2.73 11.11  7.43  73 9999.0 999.0  27.6 999.0 99.0 99.00
2016 01 05 08 21 999 99.0 99.0  2.64 10.53  6.79  63 9999.0 999.0  27.6 999.0 99.0 99.00
2016 01 05 08 51 999 99.0 99.0  2.86 10.53  7.01  69 9999.0 999.0  27.6 999.0 99.0 99.00
2016 01 05 09 21 999 99.0 99.0  2.76 11.11  6.74  61 9999.0 999.0  27.6 999.0 99.0 99.00
2016 01 05 10 21 999 99.0 99.0  2.63 10.53  6.78  49 9999.0 999.0  27.6 999.0 99.0 99.00
2016 01 05 10 51 999 99.0 99.0  2.74  9.88  7.18  63 9999.0 999.0  27.7 999.0 99.0 99.00
2016 01 05 11 21 999 99.0 99.0  2.68 10.53  6.84  76 9999.0 999.0  27.7 999.0 99.0 99.00
2016 01 05 11 51 999 99.0 99.0  2.65 11.11  6.74  61 9999.0 999.0  27.7 999.0 99.0 99.00
2016 01 05 12 21 999 99.0 99.0  2.50 10.53  6.72  77 9999.0 999.0  27.7 999.0 99.0 99.00
2016 01 05 12 51 999 99.0 99.0  2.56 11.11  6.88  66 9999.0 999.0  27.7 999.0 99.0 99.00
2016 01 05 13 21 999 99.0 99.0  2.40 11.11  6.61  57 9999.0 999.0  27.7 999.0 99.0 99.00
2016 01 05 14 21 999 99.0 99.0  2.34 10.53  6.58  69 9999.0 999.0  27.7 999.0 99.0 99.00
2016 01 05 14 51 999 99.0 99.0  2.64 10.53  7.00  70 9999.0 999.0  27.7 999.0 99.0 99.00
2016 01 05 15 21 999 99.0 99.0  2.44  9.88  6.64  70 9999.0 999.0  27.6 999.0 99.0 99.00
2016 01 05 15 51 999 99.0 99.0  2.59 11.11  7.19  76 9999.0 999.0  27.6 999.0 99.0 99.00
2016 01 05 16 21 999 99.0 99.0  2.42 11.76  6.92  63 9999.0 999.0  27.7 999.0 99.0 99.00
2016 01 05 16 51 999 99.0 99.0  2.46  9.88  6.99  63 9999.0 999.0  27.6 999.0 99.0 99.00
2016 01 05 17 21 999 99.0 99.0  2.54 10.53  7.14  81 9999.0 999.0  27.6 999.0 99.0 99.00
2016 01 05 18 51 999 99.0 99.0  2.36 10.53  6.69  76 9999.0 999.0  27.6 999.0 99.0 99.00
2016 01 05 19 21 999 99.0 99.0  2.50  9.88  6.83  78 9999.0 999.0  27.7 999.0 99.0 99.00
2016 01 05 19 51 999 99.0 99.0  2.56  9.88  6.92  81 9999.0 999.0  27.6 999.0 99.0 99.00
2016 01 05 20 21 999 99.0 99.0  2.55  8.33  6.94  71 9999.0 999.0  27.6 999.0 99.0 99.00
2016 01 05 20 51 999 99.0 99.0  2.38  9.88  6.92  80 9999.0 999.0  27.6 999.0 99.0 99.00
2016 01 05 21 21 999 99.0 99.0  2.21 11.11  6.68  73 9999.0 999.0  27.6 999.0 99.0 99.00
2016 01 05 22 21 999 99.0 99.0  2.29 11.11  6.74  78 9999.0 999.0  27.6 999.0 99.0 99.00
2016 01 05 22 51 999 99.0 99.0  2.12 11.76  6.44  76 9999.0 999.0  27.6 999.0 99.0 99.00
